,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ceilingvis,crosswinds,departures,severe,winterwx,sum,airport,nodepart,delayrange,natsvr,arrivalimpacts,delayrange.1,delays,ac,hour,west,east,maxsize,numpoints,weekday,pred_dif,delayrangeF,local_time,i_wind,cv,i_winter,i_dep,i_nat,i_arr,i_svr,i_dr,i_cv
0,0,0,0,0,0,0.0,0,0.0,185,0,232.3742186876228,JFK,1,"(80, 100)",32.37421868762277,15.0,"(80, 100)",24.53111111111112,1,17,4,11,352,15,2,-87.46888888888888,"[12.53111111111112, 36.531111111111116]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,Moderate Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 12.53111111111112 and 36.531111111111116%,No Impacts
1,1,1,1,1,1,0.0,0,0.0,127,0,169.4832476723726,IAD,1,"(68, 88)",35.7332476723726,6.75,"(68, 88)",8.959999999999994,2,17,2,4,2249,6,2,-69.04,"[0, 24]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,Significat Impacts - Poss. Rerouting,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 0 and 24%,No Impacts
2,2,2,2,2,2,0.0,0,0.0,0,0,36.790450685536825,MIA,1,"(0, 20)",26.29045068553683,10.5,"(0, 20)",32.89333333333333,3,17,0,0,0,0,2,27.89333333333333,"[20.89333333333333, 44.89333333333333]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,Moderate Impacts,Scattered Arrival Delays,No Impacts,Predicted Departure Delays Between 20.89333333333333 and 44.89333333333333%,No Impacts
3,3,3,3,3,3,0.0,0,0.0,112,0,161.91432477072024,DCA,1,"(64, 84)",37.91432477072024,12.0,"(64, 84)",17.68222222222223,4,17,2,3,2454,5,2,-56.31777777777777,"[5.682222222222229, 29.68222222222223]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,Significat Impacts - Poss. Rerouting,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 5.682222222222229 and 29.68222222222223%,No Impacts
4,4,4,4,4,4,0.0,0,0.0,15,0,60.20474335949911,MCO,0,"(8, 28)",29.4547433594991,15.75,"(8, 28)",50.513333333333335,5,17,3,0,130,3,2,32.513333333333335,"[38.513333333333335, 62.513333333333335]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,Moderate Impacts,Scattered Arrival Delays,Some T-Storm Impacts,Predicted Departure Delays Between 38.513333333333335 and 62.513333333333335%,No Impacts
5,5,5,5,5,5,0.0,0,0.0,78,0,107.89492224310273,DFW,0,"(34, 54)",16.89492224310272,12.999999999999998,"(34, 54)",14.476666666666668,6,17,3,1,3815,4,2,-29.523333333333333,"[2.4766666666666683, 26.476666666666667]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Few Departures,Minimal Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 2.4766666666666683 and 26.476666666666667%,No Impacts
6,6,6,6,6,6,0.0,0,0.0,50,0,82.48869651927676,ORD,0,"(20, 40)",20.48869651927676,12.0,"(20, 40)",12.477736060236062,7,17,4,2,984,6,2,-17.52226393976394,"[0.47773606023606163, 24.47773606023606]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Few Departures,Moderate Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 0.47773606023606163 and 24.47773606023606%,No Impacts
7,7,7,7,7,7,0.0,0,0.0,168,0,208.23050823108915,BOS,1,"(80, 100)",27.48050823108914,12.75,"(80, 100)",18.01666666666664,8,17,6,6,2153,12,2,-80.98333333333336,"[6.016666666666641, 30.01666666666664]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,Moderate Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 6.016666666666641 and 30.01666666666664%,No Impacts
8,8,8,8,8,8,0.6933333333333334,0,0.0,0,0,33.01215188053816,PIT,1,"(0, 20)",28.318818547204824,4.0,"(0, 20)",19.94333333333333,9,17,0,0,0,0,2,16.94333333333333,"[7.943333333333332, 31.94333333333333]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,Moderate Impacts,0,No Impacts,Predicted Departure Delays Between 7.943333333333332 and 31.94333333333333%,
9,9,9,9,9,9,0.0,0,0.0,50,0,101.72480286066812,ATL,0,"(30, 50)",29.22480286066812,22.5,"(30, 50)",14.08874236874237,10,17,1,3,738,4,2,-25.91125763125763,"[2.08874236874237, 26.08874236874237]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,Moderate Impacts,Elevated Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 2.08874236874237 and 26.08874236874237%,No Impacts
10,10,10,10,10,10,0.0,0,0.0,25,0,61.35163213356538,JAX,1,"(8, 28)",31.85163213356538,4.5,"(8, 28)",13.633333333333333,11,17,5,0,149,5,2,-4.366666666666666,"[1.6333333333333329, 25.633333333333333]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,Moderate Impacts,0,Moderate T-Storm Impacts - Possible Ground Stop,Predicted Departure Delays Between 1.6333333333333329 and 25.633333333333333%,No Impacts
