,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ceilingvis,crosswinds,departures,severe,winterwx,sum,airport,nodepart,delayrange,natsvr,arrivalimpacts,delayrange.1,delays,ac,hour,west,east,maxsize,numpoints,weekday,pred_dif,delayrangeF,local_time,i_wind,cv,i_winter,i_dep,i_nat,i_arr,i_svr,i_dr,i_cv
0,0,0,0,0,0,8.96,0,22.85,98,0,143.31,JFK,0,"(53, 73)",0,13.5,"(53, 73)",24.398888888888884,1,13,4,2,3543,6,2,-38.60111111111112,"[12.398888888888884, 36.398888888888884]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Higher Flow,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 12.398888888888884 and 36.398888888888884%,Minor Impacts
1,1,1,1,1,1,0.0,0,10.775,85,0,102.525,IAD,0,"(31, 51)",0,6.75,"(31, 51)",22.3031746031746,2,13,2,5,709,7,2,-18.6968253968254,"[10.3031746031746, 34.3031746031746]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Managable Flow,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 10.3031746031746 and 34.3031746031746%,No Impacts
2,2,2,2,2,2,0.0,0,26.375,62,0,97.375,MIA,0,"(28, 48)",0,9.0,"(28, 48)",24.05373404373405,3,13,3,2,410,5,2,-13.946265956265952,"[12.05373404373405, 36.05373404373405]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Higher Flow,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 12.05373404373405 and 36.05373404373405%,No Impacts
3,3,3,3,3,3,0.0,0,0.0,75,0,84.0,DCA,0,"(21, 41)",0,9.0,"(21, 41)",26.4586272986273,4,13,3,4,800,7,2,-4.541372701372701,"[14.458627298627299, 38.4586272986273]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 14.458627298627299 and 38.4586272986273%,No Impacts
4,4,4,4,4,4,0.0,0,30.725,62,0,106.225,MCO,0,"(33, 53)",0,13.5,"(33, 53)",14.76285714285715,5,13,4,2,791,6,2,-28.23714285714285,"[2.7628571428571504, 26.76285714285715]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Higher Flow,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 2.7628571428571504 and 26.76285714285715%,No Impacts
5,5,5,5,5,5,0.0,0,22.8,151,0,184.8,DFW,0,"(76, 96)",0,10.999999999999998,"(76, 96)",16.650000000000006,6,13,5,4,4577,9,2,-69.35,"[4.650000000000006, 28.650000000000006]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Higher Flow,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 4.650000000000006 and 28.650000000000006%,No Impacts
6,6,6,6,6,6,0.0,0,32.15714285714286,166,0,209.3,ORD,0,"(80, 100)",0,11.142857142857144,"(80, 100)",17.29111111111112,7,13,2,4,2566,6,2,-82.70888888888888,"[5.291111111111121, 29.29111111111112]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Higher Flow,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 5.291111111111121 and 29.29111111111112%,No Impacts
7,7,7,7,7,7,0.0,0,0.0,63,0,75.0,BOS,1,"(16, 36)",0,12.0,"(16, 36)",18.92454822954823,8,13,3,0,5566,3,2,-7.07545177045177,"[6.924548229548229, 30.92454822954823]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 6.924548229548229 and 30.92454822954823%,No Impacts
8,8,8,8,8,8,7.159999999999999,0,0.0,45,25,80.16,PIT,1,"(19, 39)",0,3.0,"(19, 39)",15.901632071632068,9,13,3,2,410,5,2,-13.098367928367932,"[3.9016320716320685, 27.90163207163207]",Apr 22 (Sat) 05:00 PM,No Impacts,0,Moderate Impacts - Extensive Deicing,Few Departures,No Impacts,0,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 3.9016320716320685 and 27.90163207163207%,Minor Impacts
9,9,9,9,9,9,0.0,0,62.425,66,0,148.675,ATL,0,"(56, 76)",0,20.25,"(56, 76)",28.934603174603176,10,13,3,1,1686,4,2,-37.06539682539682,"[16.934603174603176, 40.934603174603176]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Near Max Capacity,No Impacts,Elevated Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 16.934603174603176 and 40.934603174603176%,No Impacts
